,product name,product prices ,Product description
0,"vivo Y20G (Purist Blue, 128 GB)","₹18,990",6 GB RAM | 128 GB ROM16.54 cm (6.51 inch) Display13MP Rear Camera5000 mAh Battery1 year
1,"vivo Y21 (Midnight Blue, 64 GB)","₹13,990",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.54 cm (6.51 inch) HD+ Display13MP + 2MP | 8MP Front Camera5000 mAh Lithium BatteryMediatek Helio P35 Processor1 Year Warranty for Handset and 6 Months for In-box Accessories
